a9846ca7-3414-4da7-acf7-656a596099ce,EusNb2Se4 pellets (heated in sealed vessel) Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
9aec6466-52ea-4d32-a45a-f7ff123d1c06, Europium Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
ddbd0dc6-c594-478c-b56a-c735693abfcb,Synthesized EuS Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
51145cb9-3635-43f0-b441-cb06dcd94bad,"Ground EuS, Nb and Se mix Ingredient",,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
08884a4a-8e00-4861-8ca4-f8f001c6a5ea,Niobium Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
3242cbb2-fb6d-4246-80f6-8b1fef94b934,EusNb2Se4 pellets (vessel) Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
8e9d9c87-e8d4-4926-94ea-37a7944278be,Ground NbSe2 Mixture Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
5e3a322c-70e4-4024-888b-3a92fce47449,EusNb2Se4 pellets Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
3322faa3-b37a-4149-888b-f429566b3f32,Selenium Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
f4f151a5-93b8-4012-8fca-4396006fea9f,EusNb2Se4 pellets Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
17701233-7557-4ca3-bc6c-295b7fe6bbc2,EusNb2Se4 pellets (heated in sealed vessel) Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
4767698c-c078-40b3-bef1-cd43c67d52a3,Iodine Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
f5582503-17b5-4092-89df-f284a0cf5f35,Ground Synthesized EuS Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
f3ddea55-a248-4bc9-9b15-6791d49b6d90,Purified Selinium Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
84ad56b5-6d9d-4644-8366-55592f1cb507,EusNb2Se4 pellets (vessel) Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
81046d91-0e99-4d9e-8ab0-422d5f772d28,Synthesized NbSe2 Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
b0348186-4b68-4c09-bbbb-120cea1e8465,EusNb2Se4 pellets (sealed vessel) Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
3ad6f87d-862f-47e3-87dd-4d9e2a52eeb1,Grinding Synthesized EuS,,,,,,,,,,,,,,,,,,,,,,,,process_spec,,process_spec
1603c6be-221e-4708-9b61-6bc15b456be8,Grinding Purified Selinium,,,,,,,,,,,,,,,,,,,,,,,,process_spec,,process_spec
0902477f-1adf-49f6-9af7-aef1ff905d38,Heating EusNb2Se4 pellets (sealed vessel),,,,,dwell_1_time,72.0,hour,dwell_1_temperature,800.0,degree_Celsius,,,,,,,,,,,,,,process_spec,,process_spec
bd5c60f1-51b9-4386-ac8d-a3d68a782864,Purchasing Sulfur,,,,,,,,,,,,,,,,,,,,,,,,process_spec,,process_spec
4ac91361-5354-4dee-ab20-053a026ccb2e,Purchasing Niobium,,,,,,,,,,,,,,,,,,,,,,,,process_spec,,process_spec
1eecf772-cafd-4bee-926c-d725b74901df, Quenching EusNb2Se4 pellets (heated in sealed vessel),,,,,Quenching Duration,15.0,second,,,,,,,,,,,,,,,,,process_spec,,process_spec
3fdb9ec8-586e-471d-bd53-7c603d58dd5a,"Heating Chunked Europium,Ground Purified Sulfur",,,,,ramp_up_1_time,0.9,hour,ramp_up_1_rate,100.0,degree_Celsius,dwell_1_time,0.0,hour,dwell_1_temperature,90.0,degree_Celsius,ramp_up_2_time,0.8333333333333334,hour,ramp_up_2_rate,50.0,degree_Celsius,,process_spec,,process_spec
8872785b-d55d-4132-98f2-3e2ffbf1c36b,Purchasing Europium,,,,,,,,,,,,,,,,,,,,,,,,process_spec,,process_spec
003cf75f-d6f2-44fb-ad4e-f6d255b54e92, Quenching EusNb2Se4 pellets (heated in sealed vessel),,,,,Quenching Duration,15.0,second,,,,,,,,,,,,,,,,,process_spec,,process_spec
280044ac-120e-4fd0-bf33-039dc199ae98,Grinding Purified Sulfur,,,,,,,,,,,,,,,,,,,,,,,,process_spec,,process_spec
e095c54b-90fd-4e26-9b80-cbf38a2adcc0,Heating Ground NbSe2 Mixture,,,,,ramp_up_1_time,9.5,hour,ramp_up_1_rate,102.94117647058823,degree_Celsius,dwell_1_time,72.0,hour,dwell_1_temperature,875.0,degree_Celsius,ramp_down_1_time,4.0,hour,ramp_down_1_rate,0.0,degree_Celsius,,process_spec,,process_spec
1b677cc3-b46e-4dab-8fa8-64f9473e9523,Setting of EusNb2Se4 pellets in Vessel,,,,,,,,,,,,,,,,,,,,,,,,process_spec,,process_spec
a8d66ef9-6aeb-4600-b70f-d0230da9475d,Heating EusNb2Se4 pellets (sealed vessel),,,,,dwell_1_time,72.0,hour,dwell_1_temperature,800.0,degree_Celsius,,,,,,,,,,,,,,process_spec,,process_spec
c52ecbbd-f97f-4ff8-8b5a-ad9e17ec7055,Sealing EusNb2Se4 pellets (vessel),,,,,,,,,,,,,,,,,,,,,,,,process_spec,,process_spec
e235f9eb-1cbb-4431-be8d-c6498764949a,Pressing Ground EuS and NbSe2 mix,,,,,,,,,,,,,,,,,,,,,,,,process_spec,,process_spec
aeb4b7b9-2d67-4a4c-a504-b85f9a673144,Sealing EusNb2Se4 pellets (vessel),,,,,,,,,,,,,,,,,,,,,,,,process_spec,,process_spec
08ca83ca-a4f1-4125-afa2-3cab34b8e0f9,Heating Selenium,,,,,ramp_up_1_time,3.75,hour,ramp_up_1_rate,100.0,degree_Celsius,dwell_1_time,12.0,hour,dwell_1_temperature,400.0,degree_Celsius,ramp_down_1_time,3.75,hour,ramp_down_1_rate,100.0,degree_Celsius,,process_spec,,process_spec
0d6a8cee-9095-4323-b611-e089d4eccfc3,"Grinding Ground Synthesized EuS,Niobium,Ground Purified Selinium",,,,,,,,,,,,,,,,,,,,,,,,process_spec,,process_spec
2cb2e31b-a28d-44bd-b7b7-6edff038486c,Purchasing Iodine,,,,,,,,,,,,,,,,,,,,,,,,process_spec,,process_spec
b5cfe014-740b-44dd-b571-dc4e07b002d7,Setting of EusNb2Se4 pellets in Vessel,,,,,,,,,,,,,,,,,,,,,,,,process_spec,,process_spec
2c9da579-7263-4832-a000-14110d734b24,"Grinding Niobium,Ground Purified Selinium,Iodine",,,,,,,,,,,,,,,,,,,,,,,,process_spec,,process_spec
43d9e08e-c4a0-4951-adfc-06c7cc42fb4a, Chunking Europium,,,,,,,,,,,,,,,,,,,,,,,,process_spec,,process_spec
467daa25-4c2c-46c5-a6e0-976a5fc9108b,Purchasing Selenium,,,,,,,,,,,,,,,,,,,,,,,,process_spec,,process_spec
b899190d-8e2e-4273-8bee-ec0788ef847c,"Grinding Ground Synthesized EuS,Synthesized NbSe2",,,,,,,,,,,,,,,,,,,,,,,,process_spec,,process_spec
b9237790-4823-4072-8b34-2e0bf1e24455,Heating Sulfur,,,,,ramp_up_1_time,1.5,hour,ramp_up_1_rate,50.0,degree_Celsius,dwell_1_time,12.0,hour,dwell_1_temperature,100.0,degree_Celsius,ramp_down_1_time,0.75,hour,ramp_down_1_rate,100.0,degree_Celsius,,process_spec,,process_spec
065f2f3a-7b2b-4eb5-aa29-3f9cdd5bb631,"Pressing Ground EuS, Nb and Se mix",,,,,,,,,,,,,,,,,,,,,,,,process_spec,,process_spec
92a8b271-a2cc-426c-8012-23567b733b3d,pre XRD characterization,,,,,,,,,,,,,,,,,,,,,,,,measurement_spec,,measurement_spec
acc23932-2e03-4a70-92d6-44e71cff01a1,Fist temperature measurement,,,,,Time of Measurement,24.0,hour,,,,,,,,,,,,,,,,,measurement_spec,,measurement_spec
16163754-ab31-46e1-bdb8-3279877203f2,Second temperature measurement,,,,,Time of Measurement,68.0,hour,,,,,,,,,,,,,,,,,measurement_spec,,measurement_spec
b60a6f5e-5e9f-4e41-84d8-dbd1f6655c69,Second temperature measurement,,,,,Time of Measurement,68.0,hour,,,,,,,,,,,,,,,,,measurement_spec,,measurement_spec
6fabe966-c885-414b-85f4-a0ca0916ad9c,EusNb2Se4 XRD characterization,,,,,,,,,,,,,,,,,,,,,,,,measurement_spec,,measurement_spec
0361e0be-2490-4730-94d2-2a4c129fd89c,Fist temperature measurement,,,,,Time of Measurement,24.0,hour,,,,,,,,,,,,,,,,,measurement_spec,,measurement_spec
07d2905e-c4b8-42e9-aa5b-4306a7592c4f,EusNb2Se4 XRD characterization,,,,,,,,,,,,,,,,,,,,,,,,measurement_spec,,measurement_spec
e5de2faa-eb8a-4dc5-ae07-88ad536ee41f,EusNb2Se4 pellets (heated in sealed vessel),,,,,,,,,,,,,,,,,,,,,,,,material_run,01_23,material_run
6bfe80f4-53dc-41a5-9c97-8d1b2860092a,EusNb2Se4 pellets (heated in sealed vessel),,,,,,,,,,,,,,,,,,,,,,,,material_run,01_13,material_run
923cf7ec-ecb2-4ede-939a-e4672a541bb9,Ground EuS and NbSe2 mix,,,,,,,,,,,,,,,,,,,,,,,,material_run,,material_run
0af60f52-f1e3-4e4e-96e2-829830aac07a,EusNb2Se4 pellets,,,,,,,,,,,,,,,,,,,,,,,,material_run,01_23,material_run
abf0b634-1699-46ce-adb6-5c7ef1e5dedc,Niobium,,,,,,,,,,,,,,,,,,,,,,,,material_run,,material_run
a4ad9fda-5f6b-4bd1-b5d8-ca66c4061b0c,EusNb2Se4 pellets (vessel),,,,,,,,,,,,,,,,,,,,,,,,material_run,01_23,material_run
c2f19dfc-599f-4fbb-aea4-bc544057bc15,Chunked Europium,,,,,,,,,,,,,,,,,,,,,,,,material_run,01_23,material_run
3baabacd-a036-4eaa-83d5-6863e4814b9c,Purified Sulfur,,,,,,,,,,,,,,,,,,,,,,,,material_run,01_13,material_run
7874d4e5-4915-4984-87f8-fd5ca46e43b0,Ground NbSe2 Mixture,,,,,,,,,,,,,,,,,,,,,,,,material_run,01_23,material_run
5c187bfc-aeec-4f60-a338-3808abe5c4fa,Ground NbSe2 Mixture,,,,,,,,,,,,,,,,,,,,,,,,material_run,,material_run
9fe40704-b969-40a4-8f82-98832bce5b02,Ground Synthesized EuS,,,,,,,,,,,,,,,,,,,,,,,,material_run,01_20,material_run
717cf09d-44a8-4dc7-a6b9-b31f2bd488b8,Ground Purified Selinium,,,,,,,,,,,,,,,,,,,,,,,,material_run,01_20,material_run
c80827f8-435d-40ae-aefb-f05e64cc978d,Iodine,,,,,,,,,,,,,,,,,,,,,,,,material_run,,material_run
309c53b9-d5c5-4910-aa3f-6ef558c5a938,EusNb2Se4 pellets (quenched and cooled),,,,,,,,,,,,,,,,,,,,,,,,material_run,01_13,material_run
edf40f5b-476a-44f3-876e-3739680ee09c,Ground Purified Sulfur,,,,,,,,,,,,,,,,,,,,,,,,material_run,,material_run
73a97770-1839-435d-9865-67202e11d886,Purified Selenium,,,,,,,,,,,,,,,,,,,,,,,,material_run,01_13,material_run
9e0568f5-6e65-49b3-9d0c-0ffe52e102fa,EusNb2Se4 pellets (heated in sealed vessel),,,,,,,,,,,,,,,,,,,,,,,,material_run,01_10,material_run
9cd5e80f-f9e4-4326-95ad-b05c2f5687c9,Purchased Sulfur,,,,,,,,,,,,,,,,,,,,,,,,material_run,,material_run
2dc34d88-797c-4125-8dba-a33070ad9360,Chunked Europium,,,,,,,,,,,,,,,,,,,,,,,,material_run,,material_run
26ebce56-1551-4daa-980a-bd1a04991406,Purified Sulfur,,,,,,,,,,,,,,,,,,,,,,,,material_run,,material_run
f9d1860e-a29c-48c3-942d-8fbda7a6881c,Synthesized NbSe2,,,,,,,,,,,,,,,,,,,,,,,,material_run,01_23,material_run
b41dab9a-86fa-44e9-aa1e-5466310be6ef,"Ground, Purified Sulfur",,,,,,,,,,,,,,,,,,,,,,,,material_run,01_13,material_run
